[2026-05-20T13:43:06] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:33:19] server start port=8788 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:33:21] "POST /api/v2/index/refresh HTTP/1.1" 200 -
[2026-05-20T14:33:23] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:25] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:27] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:29] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:31] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:33] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:35] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:38] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:40] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:42] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:44] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:46] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:48] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:50] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:52] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:54] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:56] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:33:58] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:00] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:02] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:04] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:06] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:08] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:10] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:12] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:14] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:16] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:18] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:20] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:22] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:24] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:26] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:28] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:30] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:32] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:34] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:36] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:36] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T14:34:51] server start port=8790 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:34:53] "POST /api/v2/index/refresh HTTP/1.1" 200 -
[2026-05-20T14:34:55] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:34:57] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:00] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:02] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:04] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:06] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:08] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:10] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:12] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:14] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:16] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:18] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:20] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:22] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:24] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:26] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:28] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:30] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:32] "GET /api/v2/index/status HTTP/1.1" 200 -
[2026-05-20T14:35:32] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T14:35:32] "GET /api/v2/runs?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T14:35:32] "GET /api/v2/scripts?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T14:35:32] "GET /api/v2/cache/chunk?name=spectra&page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T14:35:43] server start port=8791 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:35:45] "GET /api/v2/runs?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T14:36:00] server start port=8792 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:36:02] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T14:36:12] server start port=8793 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T14:36:14] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:43:58] server start port=8794 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T15:44:00] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:51:20] server start port=8795 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T15:51:22] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:51:22] "GET /api/v2/runs?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T15:51:22] "GET /api/v2/scripts?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T15:51:22] "GET /api/v2/resources?page=1&page_size=5 HTTP/1.1" 200 -
[2026-05-20T15:52:16] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T15:52:41] "GET / HTTP/1.1" 200 -
[2026-05-20T15:52:41] "GET /assets/css/tokens.css HTTP/1.1" 200 -
[2026-05-20T15:52:41] "GET /assets/css/base.css HTTP/1.1" 200 -
[2026-05-20T15:52:41] "GET /assets/css/components.css HTTP/1.1" 200 -
[2026-05-20T15:52:41] "GET /assets/css/shell.css HTTP/1.1" 200 -
[2026-05-20T15:52:41] "GET /assets/css/pages.css HTTP/1.1" 200 -
[2026-05-20T15:52:43] "GET /assets/js/api.js HTTP/1.1" 200 -
[2026-05-20T15:52:43] "GET /assets/js/charts.js HTTP/1.1" 200 -
[2026-05-20T15:52:43] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:52:43] "POST /api/v2/preload/start HTTP/1.1" 400 -
[2026-05-20T15:52:53] "GET / HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/css/tokens.css HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/css/shell.css HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/css/pages.css HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/js/app.js HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/css/base.css HTTP/1.1" 200 -
[2026-05-20T15:52:53] "GET /assets/css/components.css HTTP/1.1" 200 -
[2026-05-20T15:52:54] "GET /assets/js/api.js HTTP/1.1" 200 -
[2026-05-20T15:52:54] "GET /assets/js/charts.js HTTP/1.1" 200 -
[2026-05-20T15:52:54] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:52:54] "POST /api/v2/preload/start HTTP/1.1" 400 -
[2026-05-20T15:53:28] "GET / HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/css/base.css HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/css/tokens.css HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/css/shell.css HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/css/components.css HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/js/app.js HTTP/1.1" 200 -
[2026-05-20T15:53:28] "GET /assets/css/pages.css HTTP/1.1" 200 -
[2026-05-20T15:53:29] "GET /assets/js/charts.js HTTP/1.1" 200 -
[2026-05-20T15:53:29] "GET /assets/js/api.js HTTP/1.1" 200 -
[2026-05-20T15:53:29] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:53:29] "POST /api/v2/preload/start HTTP/1.1" 400 -
[2026-05-20T15:53:44] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:54:34] server start port=8787 root=H:\FDTD outcome\struct\群论_struct
[2026-05-20T15:54:50] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET / HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/css/tokens.css HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/css/base.css HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/css/shell.css HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/css/components.css HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/js/app.js HTTP/1.1" 200 -
[2026-05-20T15:55:03] "GET /assets/css/pages.css HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /assets/js/charts.js HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /assets/js/api.js HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /api/v2/bootstrap HTTP/1.1" 200 -
[2026-05-20T15:55:04] "POST /api/v2/preload/start HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /api/v2/cache/chunk?name=quality HTTP/1.1" 200 -
[2026-05-20T15:55:04] "GET /api/v2/cache/chunk?name=resources&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/preload/next?kind=run_details&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/preload/next?kind=spectra&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/cache/chunk?name=quality HTTP/1.1" 200 -
[2026-05-20T15:55:05] "GET /api/v2/cache/chunk?name=resources&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/preload/next?kind=run_details&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/preload/next?kind=spectra&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/cache/chunk?name=quality HTTP/1.1" 200 -
[2026-05-20T15:55:06] "GET /api/v2/cache/chunk?name=resources&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/preload/next?kind=run_details&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/preload/next?kind=spectra&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/cache/chunk?name=quality HTTP/1.1" 200 -
[2026-05-20T15:55:07] "GET /api/v2/cache/chunk?name=resources&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/preload/next?kind=run_details&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/preload/next?kind=spectra&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/cache/chunk?name=quality HTTP/1.1" 200 -
[2026-05-20T15:55:08] "GET /api/v2/cache/chunk?name=resources&page=1&page_size=100 HTTP/1.1" 200 -
[2026-05-20T15:55:09] "GET /api/v2/preload/next?kind=run_details&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:09] "GET /api/v2/preload/next?kind=spectra&limit=4 HTTP/1.1" 200 -
[2026-05-20T15:55:09] "GET /api/v2/cache/chunk?name=run_index&page=1&page_size=50 HTTP/1.1" 200 -
[2026-05-20T15:55:09] "GET /api/v2/cache/chunk?name=script_registry&page=1&page_size=100 HTTP/1.1" 200 -
